Label,Name,Text
place,"Massachusetts","Massachusetts"
place,"Mazar-","Mazar-"
place,"Medina","Medina"
place,"Melilla—tiny","Melilla—tiny"
place,"Mexico","Mexico"
place,"Milan","Milan"
place,"Minnesota","Minnesota"
place,"Mohammed","Mohammed"
place,"Monmouth County","Monmouth County"
place,"Morava River","Morava River"
place,"Mount Attacks","Mount Attacks"
place,"mount WMD","mount WMD"
place,"Multinational","Multinational"
place,"My","My"
place,"Nagoya","Nagoya"
place,"Naples","Naples"
place,"Nauru","Nauru"
place,"Nebraska","Nebraska"
place,"New Delhi","New Delhi"
place,"News Channel","News Channel"
place,"Niger","Niger"
place,"Niš","Niš"
place,"North Africa","North Africa"
place,"North America","North America"
place,"NORTHCOM","NORTHCOM"
place,"northeastern Afghanistan","northeastern Afghanistan"
place,"northeastern Oklahoma","northeastern Oklahoma"
place,"Northeast Intelligence","Northeast Intelligence"
place,"Northern Afghanistan","Northern Afghanistan"
place,"northern Balkh","northern Balkh"
place,"northern Egypt","northern Egypt"
place,"northern Gaza Strip","northern Gaza Strip"
place,"northern Iraq","northern Iraq"
place,"northern Java","northern Java"
place,"northern Mexico","northern Mexico"
place,"northern Pakistan","northern Pakistan"
place,"northern Sri Lanka","northern Sri Lanka"
place,"northern Virginia","northern Virginia"
place,"North Gate","North Gate"
place,"North Las Vegas","North Las Vegas"
place,"North Texas","North Texas"
place,"northwestern Africa","northwestern Africa"
place,"northwestern Pakistan—meant","northwestern Pakistan—meant"
place,"northwest Pakistan","northwest Pakistan"
place,"Nottingham","Nottingham"
place,"Nurjaman","Nurjaman"
place,"Ocean County","Ocean County"
place,"Oman","Oman"
place,"Orinoco Belt","Orinoco Belt"
place,"Ouarsenis Mountains","Ouarsenis Mountains"
place,"Pakistan-controlled","Pakistan-controlled"
place,"Palestinians—al-","Palestinians—al-"
place,"Panjshir Valley","Panjshir Valley"
place,"Pascagoula","Pascagoula"
place,"Paya Lebar","Paya Lebar"
place,"Pennsylvania","Pennsylvania"
place,"Peshawar","Peshawar"
place,"Pierce County","Pierce County"
place,"Pocono Mountains","Pocono Mountains"
place,"Port of Spain","Port of Spain"
place,"Prince George","Prince George"
place,"Putin","Putin"
place,"Queens","Queens"
place,"Raiwind","Raiwind"
place,"Rawalpindi—sites","Rawalpindi—sites"
place,"Rehman","Rehman"
place,"Rhode Island","Rhode Island"
place,"Rivera","Rivera"
place,"Rocky Mountain","Rocky Mountain"
place,"Rotterdam","Rotterdam"
place,"Sadat","Sadat"
place,"Sahel Belt","Sahel Belt"
place,"Samana","Samana"
place,"San Francisco Bay","San Francisco Bay"
place,"Santiago","Santiago"
place,"SARS","SARS"
place,"Seattle","Seattle"
place,"Serbs","Serbs"
place,"Sharm","Sharm"
place,"Shukrijumah","Shukrijumah"
place,"Singapore Straits","Singapore Straits"
place,"Small Mountain","Small Mountain"
place,"Sonoran Desert","Sonoran Desert"
place,"South American—predominantly","South American—predominantly"
place,"South Asians","South Asians"
place,"South Darfur","South Darfur"
place,"Southeast Asia—anywhere","Southeast Asia—anywhere"
place,"Southeast Asia—or","Southeast Asia—or"
place,"southeastern Turkey","southeastern Turkey"
place,"southern Afghanistan","southern Afghanistan"
place,"southern Asian","southern Asian"
place,"southern Chechnya","southern Chechnya"
place,"Southern Discomfort","Southern Discomfort"
place,"southern Gaza","southern Gaza"
place,"Southern Insurgency","Southern Insurgency"
place,"southern Kazakhstan","southern Kazakhstan"
place,"southern New Jersey","southern New Jersey"
place,"southern Philippines-based","southern Philippines-based"
place,"southern Saudi Arabia","southern Saudi Arabia"
place,"Southern Sudan","Southern Sudan"
place,"southern U.S.","southern U.S."
place,"south Florida","south Florida"
place,"south Lebanon","south Lebanon"
place,"South Punjab","South Punjab"
place,"South Vietnamese—to","South Vietnamese—to"
place,"southwestern Afghanistan","southwestern Afghanistan"
place,"southwest France","southwest France"
place,"Split","Split"
place,"State","State"
place,"Stuttgart","Stuttgart"
place,"Sulu Island","Sulu Island"
place,"Superior","Superior"
place,"Switzerland","Switzerland"
place,"Tacoma","Tacoma"
place,"Tallinn","Tallinn"
place,"Tarut Island","Tarut Island"
place,"Tells Hill","Tells Hill"
place,"Terrorist Base","Terrorist Base"
place,"the Persian Gulf","the Persian Gulf"
place,"Tirah Valley","Tirah Valley"
place,"Tombouctou","Tombouctou"
place,"Transit Station","Transit Station"
place,"Tripura","Tripura"
place,"Tunis","Tunis"
place,"U","U"
place,"Union","Union"
place,"University Park","University Park"
place,"U.S.","U.S."
place,"Utah","Utah"
place,"Vancouver","Vancouver"
place,"Vermont","Vermont"
place,"Virginia Beach","Virginia Beach"
place,"War","War"
place,"West","West"
place,"West Beirut","West Beirut"
place,"West Darfur","West Darfur"
place,"Western Airlines","Western Airlines"
place,"western Baghdad","western Baghdad"
place,"Western COIN","Western COIN"
place,"western European","western European"
place,"Western Hemispheric","Western Hemispheric"
place,"western Iranian","western Iranian"
place,"western Macedonian","western Macedonian"
place,"western New York","western New York"
place,"Western President","Western President"
place,"Western Targets","Western Targets"
place,"Western Zionists","Western Zionists"
place,"West Is","West Is"
place,"West London—became","West London—became"
place,"West Papua","West Papua"
place,"West Wing","West Wing"
place,"Wilmington","Wilmington"
place,"Worcestershire","Worcestershire"
place,"Yasir","Yasir"
place,"Yucatan","Yucatan"
place,"Zamashke","Zamashke"
place,"Zelm","Zelm"
